date_label,start_time_label,pump_left_volume_ml,pump_right_volume_ml,pump_total_volume_ml,pump_duration_sec
2018/8/7,2018/8/7 23:27,29,16,45,1200
2018/4/21,2018/4/21 21:32,20,25,45,2580
2018/4/27,2018/4/27 4:02,24,19,43,960
2018/5/1,2018/5/1 17:53,49,38,87,1800
2018/5/2,2018/5/2 8:14,26,24,50,1260
2018/5/15,2018/5/15 22:22,17,18,35,840
2018/5/16,2018/5/16 5:50,24,30,54,1680
2018/5/16,2018/5/16 19:16,34,24,58,1020
2018/5/21,2018/5/21 20:27,30,28,58,900
2018/6/3,2018/6/3 2:42,30,27,57,1440
2018/6/8,2018/6/8 7:08,50,22,72,1260
2018/6/8,2018/6/8 19:11,83,39,122,2100
2018/6/9,2018/6/9 21:17,35,18,53,1260
2018/6/12,2018/6/12 19:48,35,20,55,1320
2018/6/14,2018/6/14 15:52,25,18,43,1200
2018/6/17,2018/6/17 18:51,46,20,66,1680
2018/6/18,2018/6/18 5:06,38,27,65,1560
2018/6/20,2018/6/20 6:51,36,22,58,1740
2018/6/26,2018/6/26 9:31,31,14,45,1560
2018/6/28,2018/6/28 21:33,37,21,58,1320
2018/6/29,2018/6/29 19:22,2,-1,2,60
2018/7/2,2018/7/2 9:18,49,36,85,1380
2018/7/3,2018/7/3 11:47,35,20,55,1200
2018/7/3,2018/7/3 15:20,41,30,71,1140
2018/7/12,2018/7/12 9:25,19,18,37,1080
2018/7/12,2018/7/12 21:23,31,20,51,1380
2018/7/14,2018/7/14 12:08,1,1,2,60
2018/7/18,2018/7/18 7:10,22,10,32,1260
2018/7/18,2018/7/18 17:40,33,17,50,1440
2018/7/20,2018/7/20 20:21,40,34,74,1380
2018/7/22,2018/7/22 20:01,23,15,38,1020
2018/7/28,2018/7/28 21:38,30,10,40,1560
2018/8/8,2018/8/8 6:00,40,24,64,1380
2018/8/8,2018/8/8 9:09,18,17,35,960
2018/4/7,2018/4/7 8:09,35,38,73,1380
2018/4/14,2018/4/14 13:56,35,30,65,2160
2018/4/17,2018/4/17 22:20,30,25,55,2100
2018/4/23,2018/4/23 15:45,18,15,33,1560
2018/4/30,2018/4/30 11:13,13,10,23,660
2018/5/4,2018/5/4 17:05,30,26,56,1200
2018/5/5,2018/5/5 16:43,25,22,47,1020
2018/5/12,2018/5/12 9:45,29,30,59,1260
2018/5/20,2018/5/20 18:35,69,42,111,1860
2018/6/7,2018/6/7 21:07,24,16,40,1020
2018/6/9,2018/6/9 15:32,13,8,21,900
2018/6/10,2018/6/10 15:48,25,15,40,1380
2018/6/10,2018/6/10 20:57,36,19,55,1440
2018/6/11,2018/6/11 18:30,63,29,92,2100
2018/6/13,2018/6/13 18:20,59,26,85,1740
2018/6/13,2018/6/13 21:55,15,13,28,840
2018/6/14,2018/6/14 23:09,21,12,33,1020
2018/6/15,2018/6/15 20:50,28,11,39,1620
2018/6/18,2018/6/18 15:35,40,19,59,1320
2018/6/20,2018/6/20 22:53,25,10,35,900
2018/6/28,2018/6/28 10:31,38,18,56,1260
2018/6/29,2018/6/29 15:56,46,24,70,1200
2018/6/30,2018/6/30 7:02,38,28,66,1380
2018/7/3,2018/7/3 15:42,2,-1,2,60
2018/7/4,2018/7/4 21:38,23,23,46,840
2018/7/4,2018/7/4 23:16,19,14,33,1020
2018/7/6,2018/7/6 16:45,35,34,69,1200
2018/7/7,2018/7/7 19:42,53,33,86,1140
2018/7/12,2018/7/12 6:47,43,24,67,1380
2018/7/16,2018/7/16 23:05,22,13,35,1500
2018/7/19,2018/7/19 17:55,44,33,77,1320
2018/7/24,2018/7/24 7:41,43,24,67,1740
2018/7/28,2018/7/28 3:50,65,40,105,2040
2018/8/1,2018/8/1 9:28,45,35,80,1080
2018/8/5,2018/8/5 12:07,25,18,43,900
2018/3/30,2018/3/30 20:16,10,16,26,1200
2018/4/10,2018/4/10 9:52,20,20,40,1860
2018/4/10,2018/4/10 19:12,50,40,90,1860
2018/4/14,2018/4/14 20:17,-1,20,20,1860
2018/4/27,2018/4/27 13:40,19,15,34,1080
2018/4/30,2018/4/30 22:15,28,25,53,1200
2018/5/1,2018/5/1 21:54,23,15,38,1140
2018/5/3,2018/5/3 12:21,25,30,55,1020
2018/5/7,2018/5/7 12:52,28,23,51,1260
2018/5/11,2018/5/11 12:49,24,28,52,1200
2018/5/11,2018/5/11 16:23,27,30,57,1320
2018/5/18,2018/5/18 19:50,22,22,44,1140
2018/5/19,2018/5/19 14:40,25,25,50,1080
2018/5/19,2018/5/19 20:17,18,24,42,840
2018/5/31,2018/5/31 14:35,30,38,68,780
2018/6/1,2018/6/1 22:33,33,26,59,960
2018/6/4,2018/6/4 14:10,19,15,34,1200
