feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
,,0,0,0,2018/06/28 21:33:56,
,,0,0,0,2018/06/28 19:03:34,
,,0,0,0,2018/06/28 15:59:36,
,,0,0,0,2018/06/28 12:42:00,
,,0,0,0,2018/06/28 10:31:34,
,,0,0,0,2018/06/28 07:04:47,
,,0,0,0,2018/06/28 02:35:05,
,,0,0,0,2018/06/27 22:53:37,
,,0,0,0,2018/06/27 21:02:06,
,,0,0,0,2018/06/27 19:08:06,
,,0,0,0,2018/06/27 16:36:16,
,,0,0,0,2018/06/27 13:02:34,
,,0,0,0,2018/06/27 10:07:21,
,,0,0,0,2018/06/27 06:50:28,
,,0,0,0,2018/06/27 03:03:46,
,,0,0,0,2018/06/26 23:05:25,
,,0,0,0,2018/06/26 21:31:03,
,,0,0,0,2018/06/26 18:47:22,
,,0,0,0,2018/06/26 16:01:20,
,,0,0,0,2018/06/26 15:31:09,
,,0,0,0,2018/06/26 11:57:48,
,,0,0,0,2018/06/26 09:31:56,
,,0,0,0,2018/06/26 06:51:09,
Bottle Formula,,0,0,120,2018/06/26 03:58:31,
,,0,0,0,2018/06/26 03:11:48,
,,0,0,0,2018/06/25 23:04:59,
,,0,0,0,2018/06/25 20:29:09,
,,0,0,0,2018/06/25 18:47:25,
,,0,0,0,2018/06/25 14:59:15,
,,0,0,0,2018/06/25 11:50:51,
,,0,0,0,2018/06/25 08:45:45,
,,0,0,0,2018/06/25 05:44:12,
,,0,0,0,2018/06/25 02:17:29,
,,0,0,0,2018/06/24 22:50:51,
,,0,0,0,2018/06/24 21:35:55,
,,0,0,0,2018/06/24 19:54:00,
,,0,0,0,2018/06/24 16:10:26,
,,0,0,0,2018/06/24 15:47:16,
,,0,0,0,2018/06/24 11:30:00,
,,0,0,0,2018/06/24 08:55:00,
,,0,0,0,2018/06/24 06:17:00,
,,0,0,0,2018/06/24 02:10:00,
,,0,0,0,2018/06/23 22:58:39,
,,0,0,0,2018/06/23 21:33:05,
,,0,0,0,2018/06/23 19:16:15,
,,0,0,0,2018/06/23 16:09:00,
